Info	Severity
53 > 53714 [UDP] Seq=0 Win=0 Len=233	0
53 > 50212 [UDP] Seq=0 Win=0 Len=229	0
53 > 62398 [UDP] Seq=0 Win=0 Len=91	0
15535 > 80 [ACK] Seq=1263641571 Ack=1505693196 Win=512 Len=54	1
53 > 55867 [UDP] Seq=0 Win=0 Len=151	0
53 > 52033 [UDP] Seq=0 Win=0 Len=226	0
53 > 55202 [UDP] Seq=0 Win=0 Len=165	0
59581 > 53 [UDP] Seq=0 Win=0 Len=73	0
53 > 56295 [UDP] Seq=0 Win=0 Len=142	0
53 > 52537 [UDP] Seq=0 Win=0 Len=98	0
55550 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55532 [UDP] Seq=0 Win=0 Len=244	0
13769 > 80 [ACK] Seq=1811849023 Ack=425847560 Win=512 Len=54	1
50033 > 53 [UDP] Seq=0 Win=0 Len=77	0
55145 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 51983 [UDP] Seq=0 Win=0 Len=91	0
53 > 63425 [UDP] Seq=0 Win=0 Len=226	0
60092 > 53 [UDP] Seq=0 Win=0 Len=75	0
11916 > 80 [ACK] Seq=125876682 Ack=1547095097 Win=512 Len=54	1
51958 > 53 [UDP] Seq=0 Win=0 Len=81	0
57166 > 53 [UDP] Seq=0 Win=0 Len=74	0
53 > 56494 [UDP] Seq=0 Win=0 Len=257	0
53 > 58030 [UDP] Seq=0 Win=0 Len=244	0
61954 > 53 [UDP] Seq=0 Win=0 Len=76	0
62007 > 53 [UDP] Seq=0 Win=0 Len=78	0
62819 > 53 [UDP] Seq=0 Win=0 Len=84	0
12727 > 80 [ACK] Seq=1807268917 Ack=2006317897 Win=512 Len=54	1
42823 > 53 [UDP] Seq=0 Win=0 Len=83	0
53 > 55487 [UDP] Seq=0 Win=0 Len=458	0
10962 > 80 [ACK] Seq=618823834 Ack=1900984547 Win=512 Len=54	1
53 > 49452 [UDP] Seq=0 Win=0 Len=91	0
58126 > 53 [UDP] Seq=0 Win=0 Len=87	0
59922 > 53 [UDP] Seq=0 Win=0 Len=87	0
36338 > 53 [UDP] Seq=0 Win=0 Len=80	0
60932 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 51706 [UDP] Seq=0 Win=0 Len=102	0
53 > 56491 [UDP] Seq=0 Win=0 Len=100	0
53 > 61627 [UDP] Seq=0 Win=0 Len=233	0
9821 > 80 [ACK] Seq=259054032 Ack=178401725 Win=512 Len=54	1
53 > 62960 [UDP] Seq=0 Win=0 Len=91	0
53 > 54014 [UDP] Seq=0 Win=0 Len=91	0
10310 > 80 [ACK] Seq=1760351151 Ack=1777286281 Win=512 Len=54	1
59872 > 53 [UDP] Seq=0 Win=0 Len=71	0
7331 > 80 [ACK] Seq=744700374 Ack=485715731 Win=512 Len=54	1
50641 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 64800 [UDP] Seq=0 Win=0 Len=244	0
53 > 62917 [UDP] Seq=0 Win=0 Len=221	0
11775 > 80 [ACK] Seq=618989274 Ack=1909111488 Win=512 Len=54	1
16255 > 80 [ACK] Seq=1214358743 Ack=794884071 Win=512 Len=54	1
52270 > 53 [UDP] Seq=0 Win=0 Len=89	0
64161 > 53 [UDP] Seq=0 Win=0 Len=79	0
59094 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 62876 [UDP] Seq=0 Win=0 Len=247	0
